ROW,MOV_ID,TITLE,Budget,Reception,Recency,Length,Genre,Tempo,Fanfare
944,1216,Speed Racer,1.2081,-0.7419,0.5715,-1.0572,0.6974,-0.9764,0.4286
945,1217,The One,0.4316,-2.2585,-0.6329,0.0912,0.7059,-1.7824,1.3905
946,1221,Soul Surfer,-0.1446,-1.1616,0.6245,-1.0512,-0.5847,1.6736,-0.2826
947,1222,Wall Street,-0.3831,0.784,-1.6556,-0.6866,-1.0254,-0.1288,-1.3968
948,1224,License to Wed,0.0323,-1.1291,0.1679,-1.1829,-0.2092,0.8754,-0.5452
949,1225,Underdog,0.0531,-1.6587,-0.0713,0.7587,-0.8958,0.5286,0.5443
950,1226,Tears of the Sun,0.542,-0.5135,0.2362,-1.4361,0.2029,-0.3846,0.3171
951,1227,Soul Food,-0.4127,0.3812,-0.5269,-0.0826,-0.1845,1.837,0.1478
952,1229,Cats Dogs: The Revenge of Kitty Galore,0.5625,-2.0471,0.3646,0.6288,-0.9348,0.2164,-0.0392
953,1230,We Are Marshall,0.1198,-0.5838,0.3617,-0.7437,-0.9056,1.1328,-0.2561
954,1231,A River Runs Through It,-0.5,0.8355,-0.7514,-0.0626,-0.7395,1.5312,-0.4307
955,1232,Year One,0.4954,-1.9456,0.2247,-1.0837,1.2553,0.4485,0.0727
956,1233,Edge of Darkness,0.6196,-0.2643,0.3634,-1.2936,-0.2058,-0.1544,-0.2622
957,1236,Sense and Sensibility,-0.3835,1.6161,-0.3654,0.0061,-0.5361,0.6962,-0.0543
